user_id,country,account_age_days,transaction_count,historical_amount,registration_date,remittance_id,remittance_number,origin_country,destination_country,source_currency,destination_currency,source_amount,commission_rate,commission_amount,total_debit_amount,exchange_rate,destination_amount,delivery_method,funding_method,status,created_at,beneficiary_id,completed_at,relationship,linked_user,transactions_last_24h,transactions_last_7d,transactions_last_30d,avg_transaction_amount,max_transaction_amount,new_beneficiary,beneficiary_age_days,countries_used_last_30d,failed_transactions,transaction_hour,weekend_transaction,amount_vs_user_average,transaction_velocity_24h,transaction_velocity_7d,new_beneficiary_flag,unusual_hour_flag,weekend_flag,new_corridor_flag,country_diversity_30d,failed_transaction_ratio,historical_avg_amount,historical_max_amount,rule_score,ml_probability,anomaly_score,final_risk_score,fraud_label,amount_bucket,risk_band_experimental,is_cross_border
USR-000768,Canada,-174,0,0.00,2026-03-10,REM-42-0000011,FID-2026-000011,Canada,Espana,CAD,EUR,144.00,0.032674,4.71,148.71,0.678899,97.76,TRANSFER,DEBIT_CARD,COMPLETED,2025-09-17T16:25:29+00:00,BEN-001950,2025-09-18T01:35:29+00:00,Hijo / Hija,0,0,0,0,144.00,144.00,0,138,0,0,16,0,1.00,0,0,0,0,0,1,0,0.000000,144.00,144.00,13.12,0.143714,0.332739,20.17,0,100-499,BAJO,1
USR-001180,Canada,87,0,0.00,2025-10-08,REM-42-0000012,FID-2026-000012,Canada,Estados Unidos,CAD,USD,820.87,0.019856,16.30,837.17,0.740000,607.44,WALLET,BANK_TRANSFER,COMPLETED,2026-01-03T03:55:12+00:00,BEN-002980,2026-01-03T13:05:12+00:00,Socio comercial,1,0,0,0,820.87,820.87,0,253,0,0,3,1,1.00,0,0,0,1,1,1,0,0.000000,820.87,820.87,20.67,0.197643,0.263505,22.66,0,500-999,BAJO,1
USR-000692,Mexico,-258,0,0.00,2026-04-06,REM-42-0000013,FID-2026-000013,Mexico,Canada,MXN,CAD,83.45,0.024180,2.02,85.47,0.074324,6.20,BANK_DEPOSIT,DEBIT_CARD,COMPLETED,2025-07-22T05:24:10+00:00,BEN-001765,2025-07-22T12:09:10+00:00,Conyuge,0,0,0,0,83.45,83.45,1,0,0,0,5,0,1.00,0,0,1,1,0,1,0,0.000000,83.45,83.45,30.51,0.267929,0.494503,37.14,0,0-99,MEDIO,1
USR-000757,Mexico,-349,0,0.00,2026-03-09,REM-42-0000014,FID-2026-000014,Mexico,Estados Unidos,MXN,USD,905.33,0.018281,16.55,921.88,0.055000,49.79,WALLET,BANK_TRANSFER,COMPLETED,2025-03-25T23:33:16+00:00,BEN-001929,2025-03-25T23:45:16+00:00,Hijo / Hija,0,0,0,0,905.33,905.33,1,0,0,0,23,0,1.00,0,0,1,0,0,1,0,0.000000,905.33,905.33,20.49,0.196357,0.341469,25.27,0,500-999,BAJO,1
USR-000398,Guatemala,332,0,0.00,2025-08-08,REM-42-0000015,FID-2026-000015,Guatemala,Canada,GTQ,CAD,920.45,0.020967,19.30,939.75,0.173250,159.47,TRANSFER,DIGITAL_WALLET,COMPLETED,2026-07-06T18:57:32+00:00,BEN-001035,2026-07-06T19:40:32+00:00,Padre / Madre,0,0,0,0,920.45,920.45,0,366,0,0,18,0,1.00,0,0,0,0,0,1,0,0.000000,920.45,920.45,11.79,0.134214,0.389809,21.31,0,500-999,BAJO,1
USR-000177,Estados Unidos,79,0,0.00,2025-05-29,REM-42-0000016,FID-2026-000016,Estados Unidos,Mexico,USD,MXN,187.11,0.019930,3.73,190.84,18.181818,3402.00,CASH_PICKUP,DIGITAL_WALLET,PROCESSING,2025-08-16T09:20:18+00:00,BEN-000464,,Socio comercial,1,0,0,0,187.11,187.11,1,0,0,0,9,1,1.00,0,0,1,0,1,1,0,0.000000,187.11,187.11,26.21,0.237214,0.346555,29.17,0,100-499,BAJO,1
USR-001075,Espana,39,0,0.00,2025-07-29,REM-42-0000017,FID-2026-000017,Espana,Mexico,EUR,MXN,557.52,0.033239,18.53,576.05,19.818182,11049.03,BANK_DEPOSIT,BANK_TRANSFER,COMPLETED,2025-09-06T23:54:20+00:00,BEN-002731,2025-09-07T06:01:20+00:00,Hermano / Hermana,0,0,0,0,557.52,557.52,1,0,0,0,23,1,1.00,0,0,1,0,1,1,0,0.000000,557.52,557.52,25.76,0.234000,0.439826,32.14,0,500-999,MEDIO,1
USR-000364,Estados Unidos,194,0,0.00,2025-06-17,REM-42-0000018,FID-2026-000018,Estados Unidos,Canada,USD,CAD,311.78,0.033028,10.30,322.08,1.351351,421.32,TRANSFER,DEBIT_CARD,COMPLETED,2025-12-28T09:44:37+00:00,BEN-000942,2025-12-28T18:48:37+00:00,Socio comercial,0,0,0,0,311.78,311.78,1,0,0,0,9,1,1.00,0,0,1,0,1,1,0,0.000000,311.78,311.78,26.61,0.240071,0.224104,25.14,0,100-499,BAJO,1
USR-001143,Estados Unidos,-55,0,0.00,2026-03-08,REM-42-0000019,FID-2026-000019,Estados Unidos,Guatemala,USD,GTQ,24.99,0.033553,0.84,25.83,7.800008,194.92,CASH_PICKUP,DIGITAL_WALLET,AVAILABLE,2026-01-12T10:59:21+00:00,BEN-002897,,Hijo / Hija,1,0,0,0,24.99,24.99,1,0,0,0,10,0,1.00,0,0,1,0,0,1,0,0.000000,24.99,24.99,24.17,0.222643,0.346846,27.85,0,0-99,BAJO,1
USR-000612,Guatemala,-248,0,0.00,2026-02-24,REM-42-0000020,FID-2026-000020,Guatemala,Estados Unidos,GTQ,USD,504.79,0.029379,14.83,519.62,0.128205,64.72,WALLET,DEBIT_CARD,COMPLETED,2025-06-21T13:32:21+00:00,BEN-001561,2025-06-22T00:05:21+00:00,Conyuge,0,0,0,0,504.79,504.79,1,0,0,0,13,1,1.00,0,0,1,0,1,1,0,0.000000,504.79,504.79,26.26,0.237571,0.366521,29.90,0,500-999,BAJO,1
USR-000590,Guatemala,-6,0,0.00,2026-04-05,REM-42-0000021,FID-2026-000021,Guatemala,Estados Unidos,GTQ,USD,505.10,0.023981,12.11,517.21,0.128205,64.76,BANK_DEPOSIT,BANK_TRANSFER,PROCESSING,2026-03-30T17:58:07+00:00,BEN-001511,,Hijo / Hija,1,0,0,0,505.10,505.10,0,349,0,0,17,0,1.00,0,0,0,0,0,1,0,0.000000,505.10,505.10,10.91,0.127929,0.388771,20.70,0,500-999,BAJO,1
USR-000629,Guatemala,331,0,0.00,2025-08-18,REM-42-0000022,FID-2026-000022,Guatemala,Mexico,GTQ,MXN,103.43,0.032865,3.40,106.83,2.331000,241.10,WALLET,BANK_TRANSFER,COMPLETED,2026-07-15T18:56:14+00:00,BEN-001608,2026-07-15T22:34:14+00:00,Hijo / Hija,1,0,0,0,103.43,103.43,0,36,0,0,18,0,1.00,0,0,0,0,0,1,0,0.000000,103.43,103.43,22.88,0.213429,0.231173,22.96,0,100-499,BAJO,1
USR-000012,Mexico,-179,0,0.00,2026-05-23,REM-42-0000023,FID-2026-000023,Mexico,Espana,MXN,EUR,279.75,0.019807,5.54,285.29,0.050459,14.12,CASH_PICKUP,DIGITAL_WALLET,COMPLETED,2025-11-25T16:13:40+00:00,BEN-000025,2025-11-26T02:18:40+00:00,Amigo / Amiga,0,0,0,0,279.75,279.75,1,0,0,0,16,0,1.00,0,0,1,0,0,1,0,0.000000,279.75,279.75,20.25,0.194643,0.466643,29.50,0,100-499,BAJO,1
USR-001005,Estados Unidos,-73,0,0.00,2026-06-10,REM-42-0000024,FID-2026-000024,Estados Unidos,Mexico,USD,MXN,917.10,0.023268,21.34,938.44,18.181818,16674.55,TRANSFER,DIGITAL_WALLET,COMPLETED,2026-03-29T03:27:28+00:00,BEN-002542,2026-03-29T08:26:28+00:00,Hermano / Hermana,0,0,0,0,917.10,917.10,0,190,0,0,3,1,1.00,0,0,0,1,1,1,0,0.000000,917.10,917.10,20.79,0.198500,0.434665,28.73,0,500-999,BAJO,1
USR-000429,Estados Unidos,43,0,0.00,2026-03-06,REM-42-0000025,FID-2026-000025,Estados Unidos,Mexico,USD,MXN,1136.86,0.021428,24.36,1161.22,18.181818,20670.18,BANK_DEPOSIT,DEBIT_CARD,COMPLETED,2026-04-18T21:11:45+00:00,BEN-001114,2026-04-19T02:28:45+00:00,Hermano / Hermana,0,0,0,0,1136.86,1136.86,0,265,0,0,21,1,1.00,0,0,0,0,1,1,0,0.000000,1136.86,1136.86,9.88,0.120571,0.152397,11.76,0,1000-2499,BAJO,1
USR-000190,Guatemala,196,0,0.00,2025-06-10,REM-42-0000026,FID-2026-000026,Guatemala,Espana,GTQ,EUR,253.10,0.027949,7.07,260.17,0.117619,29.77,CASH_PICKUP,DEBIT_CARD,AVAILABLE,2025-12-23T01:33:15+00:00,BEN-000493,,Socio comercial,0,0,0,0,253.10,253.10,0,48,0,0,1,0,1.00,0,0,0,1,0,1,0,0.000000,253.10,253.10,19.83,0.191643,0.351630,25.20,0,100-499,BAJO,1
USR-000179,Guatemala,-115,0,0.00,2025-11-13,REM-42-0000027,FID-2026-000027,Guatemala,Mexico,GTQ,MXN,415.20,0.029299,12.16,427.36,2.331000,967.83,BANK_DEPOSIT,DIGITAL_WALLET,PROCESSING,2025-07-21T05:30:29+00:00,BEN-000467,,Amigo / Amiga,1,0,0,0,415.20,415.20,1,0,0,0,5,0,1.00,0,0,1,1,0,1,0,0.000000,415.20,415.20,28.77,0.255500,0.372368,31.73,0,100-499,MEDIO,1
USR-000292,Canada,47,0,0.00,2025-03-29,REM-42-0000028,FID-2026-000028,Canada,Espana,CAD,EUR,168.29,0.022340,3.76,172.05,0.678899,114.25,CASH_PICKUP,BANK_TRANSFER,PROCESSING,2025-05-15T20:54:42+00:00,BEN-000761,,Padre / Madre,0,0,0,0,168.29,168.29,1,0,0,0,20,0,1.00,0,0,1,0,0,1,0,0.000000,168.29,168.29,17.43,0.174500,0.163834,17.06,0,100-499,BAJO,1
USR-000961,Estados Unidos,-360,0,0.00,2026-04-19,REM-42-0000029,FID-2026-000029,Estados Unidos,Guatemala,USD,GTQ,198.34,0.028380,5.63,203.97,7.800008,1547.05,TRANSFER,BANK_TRANSFER,AVAILABLE,2025-04-24T11:12:28+00:00,BEN-002431,,Socio comercial,0,0,0,0,198.34,198.34,1,0,0,0,11,0,1.00,0,0,1,0,0,1,0,0.000000,198.34,198.34,23.94,0.221000,0.414683,30.07,0,100-499,MEDIO,1
USR-000875,Estados Unidos,316,0,0.00,2025-09-16,REM-42-0000030,FID-2026-000030,Estados Unidos,Mexico,USD,MXN,279.21,0.020998,5.86,285.07,18.181818,5076.55,TRANSFER,DIGITAL_WALLET,COMPLETED,2026-07-29T01:40:19+00:00,BEN-002213,2026-07-29T11:14:19+00:00,Amigo / Amiga,0,0,0,0,279.21,279.21,0,365,0,0,1,0,1.00,0,0,0,1,0,1,0,0.000000,279.21,279.21,24.15,0.222500,0.447115,31.35,0,100-499,MEDIO,1
USR-000631,Espana,183,0,0.00,2025-07-25,REM-42-0000031,FID-2026-000031,Espana,Guatemala,EUR,GTQ,470.99,0.032548,15.33,486.32,8.502009,4004.36,WALLET,DIGITAL_WALLET,COMPLETED,2026-01-24T19:41:29+00:00,BEN-001612,2026-01-25T05:37:29+00:00,Amigo / Amiga,1,0,0,0,470.99,470.99,0,257,0,0,19,1,1.00,0,0,0,0,1,1,0,0.000000,470.99,470.99,13.06,0.143286,0.438498,23.84,0,100-499,BAJO,1
USR-001021,Estados Unidos,-65,0,0.00,2025-09-27,REM-42-0000032,FID-2026-000032,Estados Unidos,Guatemala,USD,GTQ,235.51,0.023960,5.64,241.15,7.800008,1836.98,CASH_PICKUP,DEBIT_CARD,AVAILABLE,2025-07-24T23:00:11+00:00,BEN-002591,,Hijo / Hija,0,0,0,0,235.51,235.51,1,0,0,0,23,0,1.00,0,0,1,0,0,1,0,0.000000,235.51,235.51,25.33,0.230929,0.419647,31.15,0,100-499,MEDIO,1
USR-000231,Canada,11,0,0.00,2026-03-10,REM-42-0000033,FID-2026-000033,Canada,Estados Unidos,CAD,USD,600.15,0.022374,13.43,613.58,0.740000,444.11,BANK_DEPOSIT,BANK_TRANSFER,AVAILABLE,2026-03-21T21:20:08+00:00,BEN-000601,,Padre / Madre,0,0,0,0,600.15,600.15,1,0,0,0,21,1,1.00,0,0,1,0,1,1,0,0.000000,600.15,600.15,18.09,0.179214,0.435062,26.99,0,500-999,BAJO,1
USR-000747,Estados Unidos,-27,0,0.00,2025-05-14,REM-42-0000034,FID-2026-000034,Estados Unidos,Espana,USD,EUR,483.38,0.032595,15.76,499.14,0.917431,443.47,CASH_PICKUP,DIGITAL_WALLET,COMPLETED,2025-04-17T10:02:56+00:00,BEN-001907,2025-04-17T21:47:56+00:00,Hijo / Hija,1,0,0,0,483.38,483.38,1,0,0,0,10,0,1.00,0,0,1,0,0,1,0,0.000000,483.38,483.38,25.60,0.232857,0.376294,29.81,0,100-499,BAJO,1
USR-000432,Guatemala,29,0,0.00,2025-11-21,REM-42-0000035,FID-2026-000035,Guatemala,Canada,GTQ,CAD,223.86,0.033081,7.41,231.27,0.173250,38.78,TRANSFER,BANK_TRANSFER,AVAILABLE,2025-12-20T13:11:15+00:00,BEN-001125,,Padre / Madre,0,0,0,0,223.86,223.86,1,0,0,0,13,1,1.00,0,0,1,0,1,1,0,0.000000,223.86,223.86,26.51,0.239357,0.570058,37.18,0,100-499,MEDIO,1
USR-000570,Mexico,-1,0,0.00,2025-09-06,REM-42-0000036,FID-2026-000036,Mexico,Canada,MXN,CAD,284.98,0.019195,5.47,290.45,0.074324,21.18,BANK_DEPOSIT,BANK_TRANSFER,COMPLETED,2025-09-05T01:52:36+00:00,BEN-001463,2025-09-05T04:29:36+00:00,Hijo / Hija,1,0,0,0,284.98,284.98,0,114,0,0,1,0,1.00,0,0,0,1,0,1,0,0.000000,284.98,284.98,26.69,0.240643,0.279468,27.13,0,100-499,BAJO,1
USR-001183,Estados Unidos,37,0,0.00,2026-04-28,REM-42-0000037,FID-2026-000037,Estados Unidos,Canada,USD,CAD,261.10,0.032818,8.57,269.67,1.351351,352.84,BANK_DEPOSIT,BANK_TRANSFER,REJECTED,2026-06-04T00:05:19+00:00,BEN-002989,,Hijo / Hija,0,0,0,0,261.10,261.10,0,198,0,1,0,0,1.00,0,0,0,1,0,1,0,0.000000,261.10,261.10,27.76,0.248286,0.433126,33.20,0,100-499,MEDIO,1
USR-001024,Estados Unidos,283,0,0.00,2025-09-11,REM-42-0000038,FID-2026-000038,Estados Unidos,Guatemala,USD,GTQ,355.55,0.020833,7.41,362.96,7.800008,2773.29,CASH_PICKUP,DIGITAL_WALLET,REVIEW_REQUIRED,2026-06-21T02:25:03+00:00,BEN-002597,,Conyuge,0,0,0,0,355.55,355.55,0,126,0,1,2,1,1.00,0,0,0,1,1,1,0,0.000000,355.55,355.55,27.13,0.243786,0.549479,36.87,0,100-499,MEDIO,1
USR-000286,Guatemala,-143,0,0.00,2025-10-24,REM-42-0000039,FID-2026-000039,Guatemala,Canada,GTQ,CAD,218.77,0.034439,7.53,226.30,0.173250,37.90,TRANSFER,DEBIT_CARD,COMPLETED,2025-06-03T19:43:05+00:00,BEN-000740,2025-06-04T01:39:05+00:00,Socio comercial,1,0,0,0,218.77,218.77,1,0,0,0,19,0,1.00,0,0,1,0,0,1,0,0.000000,218.77,218.77,16.59,0.168500,0.354378,23.19,0,100-499,BAJO,1
USR-001084,Estados Unidos,141,0,0.00,2025-04-27,REM-42-0000040,FID-2026-000040,Estados Unidos,Guatemala,USD,GTQ,187.60,0.024845,4.66,192.26,7.800008,1463.28,WALLET,DEBIT_CARD,COMPLETED,2025-09-15T17:47:46+00:00,BEN-002752,2025-09-15T19:38:46+00:00,Padre / Madre,0,0,0,0,187.60,187.60,1,0,0,0,17,0,1.00,0,0,1,0,0,1,0,0.000000,187.60,187.60,18.92,0.185143,0.162360,17.98,0,100-499,BAJO,1
USR-000307,Espana,-194,0,0.00,2026-01-30,REM-42-0000041,FID-2026-000041,Espana,Guatemala,EUR,GTQ,195.68,0.034595,6.77,202.45,8.502009,1663.67,TRANSFER,BANK_TRANSFER,COMPLETED,2025-07-20T12:01:50+00:00,BEN-000801,2025-07-20T22:16:50+00:00,Conyuge,0,0,0,0,195.68,195.68,1,0,0,0,12,1,1.00,0,0,1,0,1,1,0,0.000000,195.68,195.68,28.04,0.250286,0.435417,33.47,0,100-499,MEDIO,1
USR-000588,Estados Unidos,50,0,0.00,2025-04-25,REM-42-0000042,FID-2026-000042,Estados Unidos,Canada,USD,CAD,1417.64,0.019188,27.20,1444.84,1.351351,1915.73,TRANSFER,DEBIT_CARD,AVAILABLE,2025-06-14T21:37:12+00:00,BEN-001506,,Hijo / Hija,0,0,0,0,1417.64,1417.64,1,0,0,0,21,1,1.00,0,0,1,0,1,1,0,0.000000,1417.64,1417.64,26.39,0.238500,0.449221,32.88,0,1000-2499,MEDIO,1
USR-001166,Guatemala,-12,0,0.00,2025-06-25,REM-42-0000043,FID-2026-000043,Guatemala,Canada,GTQ,CAD,139.34,0.020554,2.86,142.20,0.173250,24.14,WALLET,DIGITAL_WALLET,COMPLETED,2025-06-13T23:52:01+00:00,BEN-002948,2025-06-14T05:11:01+00:00,Amigo / Amiga,0,0,0,0,139.34,139.34,1,0,0,0,23,0,1.00,0,0,1,0,0,1,0,0.000000,139.34,139.34,18.67,0.183357,0.482892,29.04,0,100-499,BAJO,1
USR-000267,Estados Unidos,-20,0,0.00,2025-04-16,REM-42-0000044,FID-2026-000044,Estados Unidos,Guatemala,USD,GTQ,645.51,0.024513,15.82,661.33,7.800008,5034.98,BANK_DEPOSIT,BANK_TRANSFER,COMPLETED,2025-03-27T09:56:47+00:00,BEN-000697,2025-03-27T20:14:47+00:00,Hijo / Hija,1,0,0,0,645.51,645.51,1,0,0,0,9,0,1.00,0,0,1,0,0,1,0,0.000000,645.51,645.51,18.27,0.180500,0.233032,20.03,0,500-999,BAJO,1
USR-000126,Estados Unidos,-153,0,0.00,2025-10-11,REM-42-0000045,FID-2026-000045,Estados Unidos,Espana,USD,EUR,517.59,0.019927,10.31,527.90,0.917431,474.85,BANK_DEPOSIT,BANK_TRANSFER,COMPLETED,2025-05-11T21:37:01+00:00,BEN-000313,2025-05-12T02:34:01+00:00,Hijo / Hija,0,0,0,0,517.59,517.59,1,0,0,0,21,1,1.00,0,0,1,0,1,1,0,0.000000,517.59,517.59,20.47,0.196214,0.504103,30.95,0,500-999,MEDIO,1
USR-000067,Mexico,-405,0,0.00,2026-05-30,REM-42-0000046,FID-2026-000046,Mexico,Canada,MXN,CAD,938.97,0.031831,29.89,968.86,0.074324,69.79,BANK_DEPOSIT,DIGITAL_WALLET,AVAILABLE,2025-04-20T17:23:58+00:00,BEN-000176,,Socio comercial,1,0,0,0,938.97,938.97,1,0,0,0,17,1,1.00,0,0,1,0,1,1,0,0.000000,938.97,938.97,22.32,0.209429,0.334116,26.20,0,500-999,BAJO,1
USR-000907,Guatemala,-70,0,0.00,2026-02-27,REM-42-0000047,FID-2026-000047,Guatemala,Canada,GTQ,CAD,419.39,0.032582,13.66,433.05,0.173250,72.66,BANK_DEPOSIT,BANK_TRANSFER,COMPLETED,2025-12-19T21:11:15+00:00,BEN-002294,2025-12-20T06:02:15+00:00,Padre / Madre,0,0,0,0,419.39,419.39,1,0,0,0,21,0,1.00,0,0,1,0,0,1,0,0.000000,419.39,419.39,22.46,0.210429,0.188123,21.18,0,100-499,BAJO,1
USR-000252,Estados Unidos,-191,0,0.00,2026-02-20,REM-42-0000048,FID-2026-000048,Estados Unidos,Mexico,USD,MXN,113.20,0.031742,3.59,116.79,18.181818,2058.18,BANK_DEPOSIT,DEBIT_CARD,COMPLETED,2025-08-13T19:50:26+00:00,BEN-000657,2025-08-13T21:34:26+00:00,Conyuge,0,0,0,0,113.20,113.20,1,0,0,0,19,0,1.00,0,0,1,0,0,1,0,0.000000,113.20,113.20,17.26,0.173286,0.200489,18.24,0,100-499,BAJO,1
USR-000751,Canada,-276,0,0.00,2026-02-28,REM-42-0000049,FID-2026-000049,Canada,Mexico,CAD,MXN,209.17,0.019520,4.08,213.25,13.454545,2814.29,BANK_DEPOSIT,DIGITAL_WALLET,COMPLETED,2025-05-28T08:55:46+00:00,BEN-001916,2025-05-28T12:54:46+00:00,Hermano / Hermana,0,0,0,0,209.17,209.17,1,0,0,0,8,0,1.00,0,0,1,0,0,1,0,0.000000,209.17,209.17,23.12,0.215143,0.335672,26.78,0,100-499,BAJO,1
USR-000681,Canada,-258,0,0.00,2025-12-26,REM-42-0000050,FID-2026-000050,Canada,Estados Unidos,CAD,USD,254.09,0.025211,6.41,260.50,0.740000,188.03,CASH_PICKUP,BANK_TRANSFER,COMPLETED,2025-04-12T04:23:33+00:00,BEN-001738,2025-04-12T10:25:33+00:00,Socio comercial,1,0,0,0,254.09,254.09,1,0,0,0,4,1,1.00,0,0,1,1,1,1,0,0.000000,254.09,254.09,23.60,0.218571,0.265460,24.63,0,100-499,BAJO,1
USR-001089,Guatemala,260,0,0.00,2025-06-01,REM-42-0000051,FID-2026-000051,Guatemala,Estados Unidos,GTQ,USD,111.97,0.024008,2.69,114.66,0.128205,14.36,CASH_PICKUP,BANK_TRANSFER,AVAILABLE,2026-02-16T14:38:16+00:00,BEN-002762,,Socio comercial,1,0,0,0,111.97,111.97,0,52,0,0,14,0,1.00,0,0,0,0,0,1,0,0.000000,111.97,111.97,23.00,0.214286,0.472945,31.50,0,100-499,MEDIO,1
USR-000901,Estados Unidos,-37,0,0.00,2026-03-17,REM-42-0000052,FID-2026-000052,Estados Unidos,Espana,USD,EUR,320.93,0.032952,10.58,331.51,0.917431,294.43,WALLET,DIGITAL_WALLET,COMPLETED,2026-02-08T22:52:09+00:00,BEN-002277,2026-02-09T06:01:09+00:00,Hijo / Hija,0,0,0,0,320.93,320.93,1,0,0,0,22,1,1.00,0,0,1,0,1,1,0,0.000000,320.93,320.93,25.79,0.234214,0.381168,30.10,0,100-499,MEDIO,1
